_id,Location_Code,ward,Status,location,FID,longitude,latitude
"90",A344,16 - Don Valley East,Active,Brookbanks Dr. West of Parkwoods Village Dr.,"90",-79.324688,43.760065
"91",A345,16 - Don Valley East,Active,Gateway Blvd. Near Grenoble Dr.,"91",-79.33203,43.713933
"92",A374,16 - Don Valley East,Active,Jonesville Cres. West of Victoria Park Ave.,"92",-79.30545,43.726086
"93",A229,16 - Don Valley East,Planned,The Donway E. Northbound North of Greenland Rd.,"93",-79.340264,43.735603
"94",A414,16 - Don Valley East,Planned,Underhill Dr. Southbound North of Roanoke Rd.,"94",-79.325463,43.742309
"95",A415,16 - Don Valley East,Planned,York Mills Rd. Eastbound East of Ness Dr.,"95",-79.322124,43.761941
"96",A346,17 - Don Valley North,Active,Don Mills Rd. South of Seneca Hill Dr.,"96",-79.35366,43.788852
"97",A347,17 - Don Valley North,Active,Shaughnessy Blvd. Near Rochelle Cres.,"97",-79.353412,43.776067
"98",A375,17 - Don Valley North,Active,Shawnee Circle Near Micmac Cres.,"98",-79.337955,43.796014
"99",A416,17 - Don Valley North,Planned,Cliffwood Rd. Westbound East of Don Mills Rd.,"99",-79.35428,43.807906
"100",A182,17 - Don Valley North,Planned,Victoria Park Ave. Southbound North of Old Sheppard Ave.,"100",-79.326097,43.781558
"101",A034,17 - Don Valley North,Planned,Cherokee Blvd. Southbound South of Pinto Dr.,"101",-79.336955,43.792028
"102",A282,18 -  Willowdale,Active,Beecroft Rd. Near Lorraine Dr.,"102",-79.41788,43.777682
"103",A348,18 -  Willowdale,Active,Hilda Ave. Near Crossen Dr.,"103",-79.427214,43.792962
"104",A135,18 -  Willowdale,Active,Drewry Ave. Near Norwin St.,"104",-79.427946,43.784733
"105",A184,18 -  Willowdale,Planned,Senlac Rd. Northbound South of Horsham Ave.,"105",-79.427782,43.770999
"106",A035,18 -  Willowdale,Planned,Patricia Ave. Westbound West of Homewood Ave.,"106",-79.441823,43.785062
"107",A417,18 -  Willowdale,Planned,Hollywood Ave. Westbound East of Estelle Ave.,"107",-79.391836,43.770194
"108",A350,19 - Beaches-East York,Active,Victoria Park Ave. South of Kingston Rd.,"108",-79.283603,43.679739
"109",A351,19 - Beaches-East York,Active,Bowmore Rd. South of Fairmount Cres.,"109",-79.314159,43.676206
"110",A087,19 - Beaches-East York,Active,Kingston Rd. Near Heyworth Cres.,"110",-79.30665,43.675267
"111",A418,19 - Beaches-East York,Planned,Wrenson Rd. Westbound East of Beaton Ave.,"111",-79.31512,43.675122
"112",A138,19 - Beaches-East York,Planned,Secord Ave. Westbound Near Palmer Ave.,"112",-79.300663,43.693114
"113",A088,19 - Beaches-East York,Planned,Spruce Hill Rd. Southbound North of Queen St. E.,"113",-79.289197,43.673233
"114",A352,20 - Scarborough Southwest,Active,St. Clair Ave. E. West of Maybourne Ave.,"114",-79.29438,43.709106
"115",A353,20 - Scarborough Southwest,Active,Mason Rd. South of Glenda Rd.,"115",-79.224237,43.739581
"116",A376,20 - Scarborough Southwest,Active,Highview Ave. Near Anneke Rd.,"116",-79.259951,43.701238
"117",A419,20 - Scarborough Southwest,Planned,Corvette Ave. Westbound West of Brenda Cres.,"117",-79.260318,43.726396
"118",A420,20 - Scarborough Southwest,Planned,St. Clair Ave. E. Eastbound East of Warden Ave.,"118",-79.278806,43.71256
"119",A421,20 - Scarborough Southwest,Planned,Danforth Rd. Eastbound West of Linden Ave.,"119",-79.257676,43.719975
"120",A354,21 - Scarborough Centre,Active,Ellesmere Rd. East of Warden Ave.,"120",-79.296922,43.762091
"121",A355,21 - Scarborough Centre,Active,Birkdale Rd. Near Abbottswood Rd.,"121",-79.266636,43.765345
"122",A377,21 - Scarborough Centre,Active,McGregor Rd. West of Balaclava Dr.,"122",-79.279222,43.745291
"123",A422,21 - Scarborough Centre,Planned,Ellesmere Rd. Westbound West of Mondeo Dr.,"123",-79.289184,43.764072
"124",A423,21 - Scarborough Centre,Planned,Ionview Rd. Southbound South of Yorkshire Rd.,"124",-79.27448,43.739302
"125",A424,21 - Scarborough Centre,Planned,Pharmacy Ave. Northbound Near Princeway Dr.,"125",-79.308458,43.753098
"126",A356,22 - Scarborough-Agincourt,Active,Pharmacy Ave. Near 3200 Pharmacy Ave.,"126",-79.328873,43.799996
"127",A357,22 - Scarborough-Agincourt,Active,Sheppard Ave. E. East of Bay Mills Blvd.,"127",-79.302824,43.779955
"128",A378,22 - Scarborough-Agincourt,Active,Chester Le Blvd. South of Iangrove Terrace,"128",-79.33223,43.799111
"129",A425,22 - Scarborough-Agincourt,Planned,Warden Ave. Southbound South of Glen Springs Dr.,"129",-79.319897,43.803886
"130",A426,22 - Scarborough-Agincourt,Planned,Finch Ave. E. Eastbound West of Birchmount Rd.,"130",-79.308748,43.798269
"131",A093,22 - Scarborough-Agincourt,Planned,Birchmount Rd. Southbound South of Huntingwood Dr.,"131",-79.301517,43.788339
"132",A358,23 -  Scarborough North,Active,Finch Ave. E. East of Brimley Rd.,"132",-79.274852,43.806245
"133",A359,23 -  Scarborough North,Active,White Heather Blvd. Near Big Red Ave.,"133",-79.266312,43.813976
"134",A379,23 -  Scarborough North,Active,Chartland Blvd. S. Near Shellamwood Trail,"134",-79.27805,43.800433
"135",A427,23 -  Scarborough North,Planned,Neilson Rd. Northbound North of Finch Ave. E.,"135",-79.229318,43.8191042
"136",A428,23 -  Scarborough North,Planned,Washburn Way Southbound South of Nahanni Terrace,"136",-79.225488,43.801681
"137",A429,23 -  Scarborough North,Planned,McCowan Rd. Southbound South of Sandhurst Circle.,"137",-79.264725,43.803452
"138",A360,24 - Scarborough-Guildwood,Active,Markham Rd. South of Greencedar Circuit,"138",-79.224403,43.756802
"139",A361,24 - Scarborough-Guildwood,Active,Brimorton Dr. West of Gaitwin Place,"139",-79.224531,43.774202
"140",A380,24 - Scarborough-Guildwood,Active,Livingston Rd. Near Toynbee Trail,"140",-79.199958,43.749174
"141",A097,24 - Scarborough-Guildwood,Planned,Scarborough Golf Club Rd. Northbound North of Lawrence Ave. E.,"141",-79.215958,43.763161
"142",A430,24 - Scarborough-Guildwood,Planned,Highcastle Rd. Southbound North of Pineslope Cres.,"142",-79.215119,43.787789
"143",A431,24 - Scarborough-Guildwood,Planned,Guildwood Pkwy. Eastbound Near Schubert Dr.,"143",-79.187089,43.750183
"144",A362,25 - Scarborough-Rouge Park,Active,Military Trail West of Bobmar Rd.,"144",-79.178144,43.782846
"145",A363,25 - Scarborough-Rouge Park,Active,Nightstar Rd. Near Pogonia St.,"145",-79.22676,43.82472
"146",A381,25 - Scarborough-Rouge Park,Active,Dean Park Rd. Near Red River Cres.,"146",-79.17209,43.80261
"147",A432,25 - Scarborough-Rouge Park,Planned,Canmore Blvd. Eastbound West of Halfmoon Sq.,"147",-79.180087,43.793581
"148",A433,25 - Scarborough-Rouge Park,Planned,Meadowvale Rd. Northbound North of Lawrence Ave. E.,"148",-79.156899,43.776606
"149",A434,25 - Scarborough-Rouge Park,Planned,Charlottetown Blvd. Southbound North of McCulley St.,"149",-79.143011,43.78184
